code|text_fr|text_de|text_it|version|inclusions_de|inclusions_fr|inclusions_it|exclusions_de|exclusions_fr|exclusions_it|descriptions_de|descriptions_fr|descriptions_it|most_relevant_drgs
00.12.0|Détail de la sous-catégorie 00.12|Detail der Subkategorie 00.12|Dettaglio della sottocategoria 00.12|CHOP 2015||||||||||{}
00.12.00|Inhalation de monoxyde d'azote, durée du traitement inférieure à 48 heures|Inhalation von Stickstoffmonoxid, Dauer der Behandlung bis unter 48 Stunden|Inalazione di monossido di azoto, durata del trattamento fino a 48 ore|CHOP 2015||||||||||{}
00.12.01|Inhalation de monoxyde d'azote, durée du traitement de 48 à 96 heures|Inhalation von Stickstoffmonoxid, Dauer der Behandlung 48 Stunden bis 96 Stunden|Inalazione di monossido di azoto, durata del trattamento da 48 a 96 ore|CHOP 2015||||||||||{}
00.12.02|Inhalation de monoxyde d'azote, durée du traitement de 96 heures et plus|Inhalation von Stickstoffmonoxid, Dauer der Behandlung 96 Stunden und mehr|Inalazione di monossido di azoto, durata del trattamento da 96 ore|CHOP 2015||||||||||{}
00.16|Traitement sous pression de bypass veineux (greffe) [conduit] avec substance pharmaceutique|Unter Druck Behandlung von venösem Bypass (Graft) [Konduit] mit Pharmazeutikum|Trattamento sotto pressione di bypass venoso (trapianto) [condotto] con sostanza farmaceutica|CHOP 2015|||||||{Ex-vivo Gefässbehandlung,Hyperbar behandelter Graft (Konduit)}|{Traitement ex-vivo de vaisseaux,Greffe (conduit) traité par pression hyperbare}|{Trattamento di vasi ex vivo,Trapianto (condotto) trattato mediante sovrappressione}|{}
00.17|Perfusion d'agent vasopresseur|Infusion einer vasopressorischen Substanz|Infusione di sostanza vasocostrittrice|CHOP 2015||||||||||{}
00.19|Rupture de la barrière hémato-encéphalique [RBHE] par perfusion|Unterbrechung der Blut-Hirn- Schranke [BHS] mittels Infusion|Modifica della permeabilità della barriera ematoencefalica tramite infusione [BBBD]|CHOP 2015||||{Sonstige Perfusion (39.97)}|{Autre perfusion (39.97)}|{Altra perfusione (39.97)}|{Infusion einer Lösung zur Unterbrechung der Blut-Hirn-Schranke}|{Perfusion d'une substance pour provoquer la rupture de la barrière hémato-encéphalique}|{Infusione di sostanza che modifica la permeabilità della barriera ematoencefalica}|{}
00.2|Imagerie intravasculaire de vaisseaux sanguins|Intravaskuläre Bildgebung von Blutgefässen|Diagnostica per immagine endoavascolare di vasi sanguigni|CHOP 2015||||{Adjunktiv vaskuläre Massnahme, Anzahl von behandelten Gefässen (00.40-00.43),Diagnostische Massnahmen an Blutgefässen (38.21 - 38.29),Diagnostischer Ultraschall des peripheren vaskulären Systems (88.77),Magnetic Resonance Imaging (MRI) (88.91-88.97),Therapeutischer Ultraschall (00.01-00.09),Intravaskuläre Bildgebung der Koronargefässe (37.2A.1)}|{Procédure vasculaire d'appui, nombre de vaisseaux traités (00.40-00.43),Techniques diagnostiques concernant les vaisseaux sanguins (38.21-38.29),Ultrasonographie diagnostique du système vasculaire périphérique (88.77),Imagerie par résonance magnétique (IRM) (88.91-88.97),Ultrasons thérapeutiques (00.01-00.09),Imagerie intravasculaire de vaisseaux coronaires (37.2A.1)}|{Procedura vascolare aggiuntiva, numero di vasi trattati (00.40-00.43),Procedure diagnostiche sui vasi sanguigni (38.21-38.29),Ecografia diagnostica dell'apparato vascolare periferico (88.77),Risonanza magnetica (MRI) (88.91-88.97),Ultrasuoni terapeutici (00.01-00.09),Diagnostica per immagini endovascolare di vasi coronarici (37.2A.1)}|{Endovaskulärer Ultraschall,Intravaskuläre Bildgebung [Ultraschall] von Blutgefässen,Intravaskulärer Ultraschall (IVUS)}|{Ultrasonographie endovasculaire,Ultrasons intravasculaires (IVUS)}|{Ultrasonografia endovascolare,Diagnostica per immagine endovascolare (ultrasuoni) di vasi sanguigni,Ultrasuoni endovascolari (IVUS)}|{}
00.21|Imagerie intravasculaire de vaisseaux cérébraux extracrâniens|Intravaskuläre Bildgebung von extrakraniellen Hirngefässen|Diagnostica per immagine endovascolare di vasi cerebrali extracranici|CHOP 2015||||{Diagnostischer (nicht-invasiver) Ultraschall von Kopf und Hals (88.71)}|{Ultrasonographie (diagnostique) (non-invasive) de la tête et du cou (88.71)}|{Ultrasonografia (diagnostica) (non invasiva) del capo e del collo (88.71)}|{A. carotis communis und ihre Äste,Intravaskulärer Ultraschall (IVUS), extrakranielle Hirngefässe}|{A. carotide commune et ses branches,Ultrasons intravasculaires (IVUS), vaisseaux cérébraux extracrâniens}|{Arteria carotide comune e suoi rami,Ultrasuoni endovascolari (IVUS), vasi cerebrali extracranici}|{}
00.22|Imagerie intravasculaire de vaisseaux intrathoraciques|Intravaskuläre Bildgebung von intrathorakalen Gefässen|Diagnostica per immagine di vasi intratoracici|CHOP 2015||||{Diagnostischer (nicht-invasiver) Ultraschall anderer Thoraxlokalisationen (88.73)}|{Ultrasonographie (diagnostique) (non-invasive) d'autres sites du thorax (88.73)}|{Ultrasonografia (diagnostica) (non invasiva) di altre localizzazioni toraciche (88.73)}|{Aorta und Aortenbogen,Intravaskulärer Ultraschall (IVUS), intrathorakale Gefässe,Vena cava (superior) (inferior)}|{Aorte et crosse aortique,Ultrasons intravasculaires (IVUS), vaisseaux intrathoraciques,Veine cave (supérieure) (inférieure)}|{Aorta e arco aortico,Ultrasuoni endovascolari (IVUS), vasi intratoracici,Vena cava (superiore) (inferiore)}|{}
00.23|Imagerie intravasculaire de vaisseaux périphériques|Intravaskuläre Bildgebung von peripheren Gefässen|Diagnostica per immagine endovascolare di vasi periferici|CHOP 2015||||{Diagnostischer Ultraschall (nicht-invasiv) des peripheren vaskulären Systems (88.77)}|{Ultrasonographie (diagnostique) (non-invasive) du système vasculaire périphérique (88.77)}|{Ultrasonografia (diagnostica) (non invasiva) del sistema vascolare periferico (88.77)}|{Intravaskulärer Ultraschall (IVUS), periphere Gefässe,Bildgebung von Arm-, Beingefäss(en)}|{Ultrasons intravasculaires (IVUS), vaisseaux périphériques,Imagerie de vaisseau(x) du bras, de la jambe}|{Ultrasuoni endovascolari (IVUS), vasi periferici,Diagnostica per immagine di vaso(i) del braccio, della gamba}|{}
00.25|Imagerie intravasculaire de vaisseaux rénaux|Intravaskuläre Bildgebung der Nierengefässe|Diagnostica per immagine endovascolare di vasi renali|CHOP 2015||||{Diagnostischer Ultraschall (nicht invasiv) der Harnwege (88.75)}|{Ultrasonographie (non-invasive) (diagnostique) du système urinaire (88.75)}|{Ultrasonografia (non invasiva) (diagnostica) del sistema urinario (88.75)}|{Intravaskulärer Ultraschall (IVUS), Nierengefässe,Nierenarterie}|{Ultrasons intravasculaires (IVUS), vaisseaux rénaux,Artère rénale}|{Ultrasuoni endovascolari (IVUS), vasi renali,Arteria renale}|{}
00.28|Imagerie intravasculaire, autre(s) vaisseau(x) spécifié(s)|Intravaskuläre Bildgebung, sonstige bezeichnete Gefässe|Diagnostica per immagine endovascolare, altri vasi specificati|CHOP 2015||||||||||{}
00.29|Imagerie intravasculaire, vaisseau(x) non spécifié(s)|Intravaskuläre Bildgebung, nicht näher bezeichnete Gefässe|Diagnostica per immagine endovascolare, vasi non specificati|CHOP 2015||||||||||{}
00.3|Chirurgie assistée par ordinateur [CAO]|Computergesteuerte Chirurgie|Chirurgia assistita mediante computer [CAS]|CHOP 2015||||{Anlegen nur eines Stereotaxie-Rahmens (93.59)}|{Mise en place d'un cadre stéréotaxique seul (93.59)}|{Posizionamento di cornice stereotassica (93.59)}|{Bildfreie Navigation,Bildgesteuerte Chirurgie,CT-freie Navigation}|{Navigation sans imagerie,Chirurgie guidée par l'image (IGS),Navigation sans CT}|{Navigazione senza immagine,Chirurgia guidata mediante immagine (IGS),Navigazione senza TAC,Navigazione guidata mediante immagine}|{}
00.31|Chirurgie assistée par ordinateur avec CT/CTA|Computergesteuerte Chirurgie mit CT/CTA|Chirurgia assistita mediante computer con TAC|CHOP 2015||||||||||{}
00.32|Chirurgie assistée par ordinateur avec IRM/IRMA|Computergesteuerte Chirurgie mit MR/MRA|Chirurgia assistita mediante computer con RMN|CHOP 2015||||||||||{}
00.33|Chirurgie assistée par ordinateur avec fluoroscopie|Computergesteuerte Chirurgie mit Fluoroskopie|Chirurgia assistita mediante computer con fluoroscopia|CHOP 2015||||||||||{}
00.34|Chirurgie assistée par ordinateur sans imagerie|Bildfreie computergesteuerte Chirurgie|Chirurgia assistita mediante computer senza immagine|CHOP 2015||||||||||{}
00.35|Chirurgie assistée par ordinateur avec sources de données multiples|Computergesteuerte Chirurgie mit mehreren Datenquellen|Chirurgia assistita mediante computer con fonti multiple di dati|CHOP 2015||||||||||{}
00.39|Autre chirurgie assistée par ordinateur|Sonstige computergesteuerte Chirurgie|Altra chirurgia assistita mediante computer|CHOP 2015|||||||{Computergesteuerte Chirurgie, n.n.bez.}|{Chirurgie assistée par ordinateur SAP}|{Chirurgia assistita mediante computer NAS}|{}
00.4|Procédures vasculaires d'appui|Adjunktiv vaskuläre Massnahmen|Procedure vascolari aggiuntive|CHOP 2015||||||||||{}
00.40|Intervention sur un vaisseau|Massnahme auf einem Gefäss|Intervento su un vaso|CHOP 2015||||{(Aorto)koronarer Bypass (36.10.- - 36.1D.-),Intravaskuläre Bildgebung von Blutgefässen (00.21-00.29)}|{Anastomose (aorto-)coronaire (36.10.- - 36.1D.-),Imagerie intravasculaire de vaisseaux sanguins (00.21-00.29)}|{Bypass (aorto)coronarico (36.10.- - 36.1D.-),Diagnostica per immagine endovascolare di vasi sanguigni (00.21-00.29)}|{Anzahl von Gefässen, nicht näher bezeichnet}|{Nombre de vaisseaux, sans autre précision}|{Numero di vasi, senz'altra specificazione}|{}
00.41|Intervention sur deux vaisseaux|Massnahme auf zwei Gefässen|Intervento su due vasi|CHOP 2015||||{(Aorto)koronarer Bypass (36.10.- - 36.1D.-),Intravaskuläre Bildgebung von Blutgefässen (00.21-00.29)}|{Anastomose (aorto-)coronaire (36.10.- - 36.1D.-),Imagerie intravasculaire de vaisseaux sanguins (00.21-00.29)}|{Bypass (aorto)coronarico (36.10.- - 36.1D.-),Diagnostica per immagine endovascolare di vasi sanguigni (00.21-00.29)}||||{}
00.42|Intervention sur trois vaisseaux|Massnahme auf drei Gefässen|Intervento su tre vasi|CHOP 2015||||{(Aorto)koronarer Bypass (36.10.- - 36.1D.-),Intravaskuläre Bildgebung von Blutgefässen (00.21-00.29)}|{Anastomose (aorto-)coronaire (36.10.- - 36.1D.-),Imagerie intravasculaire de vaisseaux sanguins (00.21-00.29)}|{Bypass (aorto)coronarico (36.10.- - 36.1D.-),Diagnostica per immagine endovascolare di vasi sanguigni (00.21-00.29)}||||{}
00.43|Intervention sur quatre vaisseaux ou plus|Massnahmen auf vier oder weiteren Gefässen|Intervento su quattro o più vasi|CHOP 2015||||{(Aorto)koronarer Bypass (36.10.- - 36.1D.-),Intravaskuläre Bildgebung von Blutgefässen (00.21-00.29)}|{Anastomose (aorto-)coronaire (36.10.- - 36.1D.-),Imagerie intravasculaire de vaisseaux sanguins (00.21-00.29)}|{Bypass (aorto)coronarico (36.10.- - 36.1D.-),Diagnostica per immagine endovascolare di vasi sanguigni (00.21-00.29)}||||{}
00.44|Intervention sur bifurcation de vaisseaux sanguins|Massnahme auf Gefässbifurkation|Procedura su biforcazione di vasi sanguigni|CHOP 2015||||||||||{}
00.45|Insertion d'un stent vasculaire|Einsetzen von einem Gefässstent|Inserzione di uno stent vascolare|CHOP 2015|||||||{Anzahl von Stent(s), nicht näher bezeichnet}|{Nombre de stent(s), sans autre précision}|{Numero di vasi, senz'altra specificazione}|{}
00.46|Insertion de deux stents vasculaires|Einsetzen von zwei Gefässstents|Inserzione di due stent vascolari|CHOP 2015||||||||||{}
00.47|Insertion de trois stents vasculaires|Einsetzen von drei Gefässstents|Inserzione di tre stent vascolari|CHOP 2015||||||||||{}
00.48|Insertion de quatres stents vasculaires ou plus|Einsetzen von vier  oder weiteren Gefässstents|Inserzione di quattro o più stent vascolari|CHOP 2015||||||||||{}
00.4A|Nombre de coils endovasculaires utilisés|Anzahl verwendeter endovaskulärer Coils|Numero di spirali endovascolari utilizzate|CHOP 2015||||||||||{}
00.4A.0|Détail de la sous-catégorie 00.4A|Detail der Subkategorie 00.4A|Dettaglio della sottocategoria 00.4A|CHOP 2015||||||||||{}
00.4A.00|Insertion de coils endovasculaires, nombre non précisé|Einsetzen von endovaskulären Coils, Anzahl n.n.bez.|Inserzione di spirali endovascolari, numero non specificato|CHOP 2015||||||||||{}
00.4A.01|Insertion de 1 coil|Einsetzen von 1 Coil|Inserzione di 1 spirale|CHOP 2015||||||||||{}
00.4A.02|Insertion de 2 coils|Einsetzen von 2 Coils|Inserzione di 2 spirali|CHOP 2015||||||||||{}
00.4A.03|Insertion de 3 coils|Einsetzen von 3 Coils|Inserzione di 3 spirali|CHOP 2015||||||||||{}
00.4A.04|Insertion de 4 coils|Einsetzen von 4 Coils|Inserzione di 4 spirali|CHOP 2015||||||||||{}
00.4A.05|Insertion de 5 coils|Einsetzen von 5 Coils|Inserzione di 5 spirali|CHOP 2015||||||||||{}
00.4A.06|Insertion de 6 coils|Einsetzen von 6 Coils|Inserzione di 6 spirali|CHOP 2015||||||||||{}
00.4A.07|Insertion de 7 coils|Einsetzen von 7 Coils|Inserzione di 7 spirali|CHOP 2015||||||||||{}
00.4A.08|Insertion de 8 coils|Einsetzen von 8 Coils|Inserzione di 8 spirali|CHOP 2015||||||||||{}
00.4A.09|Insertion de 9 coils|Einsetzen von 9 Coils|Inserzione di 9 spirali|CHOP 2015||||||||||{}
00.4A.10|Insertion de 10 coils|Einsetzen von 10 Coils|Inserzione di 10 spirali|CHOP 2015||||||||||{}
00.4A.11|Insertion de 11 coils|Einsetzen von 11 Coils|Inserzione di 11 spirali|CHOP 2015||||||||||{}
00.4A.12|Insertion de 12 coils|Einsetzen von 12 Coils|Inserzione di 12 spirali|CHOP 2015||||||||||{}
00.4A.13|Insertion de 13 coils|Einsetzen von 13 Coils|Inserzione di 13 spirali|CHOP 2015||||||||||{}
00.4A.14|Insertion de 14 coils|Einsetzen von 14 Coils|Inserzione di 14 spirali|CHOP 2015||||||||||{}
00.4A.15|Insertion de 15 coils|Einsetzen von 15 Coils|Inserzione di 15 spirali|CHOP 2015||||||||||{}
00.4A.16|Insertion de 16 coils|Einsetzen von 16 Coils|Inserzione di 16 spirali|CHOP 2015||||||||||{}
00.4A.17|Insertion de 17 coils|Einsetzen von 17 Coils|Inserzione di 17 spirali|CHOP 2015||||||||||{}
00.4A.18|Insertion de 18 coils|Einsetzen von 18 Coils|Inserzione di 18 spirali|CHOP 2015||||||||||{}
00.4A.19|Insertion de 19 coils|Einsetzen von 19 Coils|Inserzione di 19 spirali|CHOP 2015||||||||||{}
00.4A.20|Insertion de 20 coils|Einsetzen von 20 Coils|Inserzione di 20 spirali|CHOP 2015||||||||||{}
00.4A.99|Insertion de coils endovasculaires, autre nombre|Einsetzen von endovaskulären Coils, sonstige Anzahl|Inserzione di spirali, altro numero|CHOP 2015||||||||||{}
00.4B|Localisation anatomique d'interventions transluminales percutanées par cathétérisme (ITPC)|Anatomische Lokalisation von gewissen perkutanen transluminalen Katheterinterventionen (PTKI)|Localizzazione anatomica di cateterismo interventistico percutaneo transluminale (PCI) specifico|CHOP 2015||||||||||{}
00.4B.0|Détail de la sous-catégorie 00.4B|Detail der Subkategorie 00.4B|Dettaglio della sottocategoria 00.4B|CHOP 2015||||||||||{}
00.4B.00|Localisation anatomique d'interventions transluminales percutanées par cathétérisme (ITPC), site non précisé|Anatomische Lokalisation von gewissen perkutanen transluminalen Katheterinterventionen (PTKI), Lokalisation n.n.bez.|Localizzazione anatomica di cateterismo interventistico percutaneo transluminale (PCI) specifico, localizzazione non specificata|CHOP 2015||||||||||{}
00.4B.09|Localisation anatomique d'interventions transluminales percutanées par cathétérisme (ITPC), autre site|Anatomische Lokalisation von gewissen perkutanen transluminalen Katheterinterventionen (PTKI), sonstige Lokalisation|Localizzazione anatomica di cateterismo interventistico percutaneo transluminale (PCI) specifico, altra localizzazione|CHOP 2015||||||||||{}
00.4B.1|Intervention transluminale percutanée par cathétérisme (ITPC) sur des artères|Perkutan transluminale Katheterintervention (PTKI) an Arterien|Cateterismo interventistico percutaneo transluminale (PCI) di arterie|CHOP 2015||||||||||{}
00.4B.10|ITPC sur artère, SAP|PTKI an Arterien, n.n.bez.|PCI di arteria, NAS|CHOP 2015||||||||||{}
00.4B.11|ITPC sur artère du membre supérieur ou de l'épaule|PTKI an Arterien der oberen Extremität oder Schulter|PCI di arterie delle estremità superiori o spalla|CHOP 2015||||||||||{}
00.4B.12|ITPC sur l'aorte|PTKI an der Aorta|PCI dell'aorta|CHOP 2015||||||||||{}
00.4B.13|ITPC sur des vaisseaux pulmonaires|PTKI an Lungengefässen|PCI dei vasi polmonari|CHOP 2015||||||||||{}
00.4B.14|ITPC sur autre artère thoracique|PTKI an anderen thorakalen Arterien|PCI di altre arterie toraciche|CHOP 2015||||||||||{}
00.4B.15|ITPC sur artère viscérale|PTKI an visceralen Arterien|PCI di arterie viscerali|CHOP 2015||||{A. renalis (00.4B.16)}|{A. rénale (00.4B.16)}|{Arteria renale (00.4B.16)}||||{}
00.4B.16|ITPC sur l'artère rénale|PTKI an der A. renalis|PCI dell'arteria renale|CHOP 2015||||||||||{}
00.4B.17|ITPC sur autre artère abdominale|PTKI an anderen abdominalen Arterien|PCI di altre arterie addominali|CHOP 2015||||||||||{}
00.4B.18|ITPC sur artères de la cuisse et sur l'artère poplitée|PTKI an Oberschenkel- Arterien und A. poplitea|PCI di arterie della coscia e dell'arteria poplitea|CHOP 2015||||||||||{}
00.4B.19|ITPC sur artère d'autre site|PTKI an Arterien an anderer Lokalisation|PCI di arterie di altra sede|CHOP 2015||||||||||{}
00.4B.1A|ITPC sur artère de la jambe|PTKI an Unterschenkel- Arterien|PCI di arterie della gamba|CHOP 2015||||||||||{}
00.4B.2|Intervention transluminale percutanée par cathétérisme (ITPC) sur des veines|Perkutan transluminale Katheterintervention (PTKI) an Venen|Cateterismo interventistico percutaneo transluminale (PCI) di vene|CHOP 2015||||||||||{}
00.4B.20|ITPC sur veine, SAP|PTKI an n.n.bez. Venen|PCI di vene, NAS|CHOP 2015||||||||||{}
00.4B.21|ITPC sur veine du membre supérieur ou de l'épaule|PTKI an Venen der oberen Extremität oder Schulter|PCI su vene delle estremità superiori o spalla|CHOP 2015||||||||||{}
00.4B.22|ITPC sur la veine cave|PTKI an der V. Cava|PCI della vena cava|CHOP 2015||||||||||{}
00.4B.23|ITPC sur autre veine thoracique|PTKI an anderen thorakalen Venen|PCI di altre vene toraciche|CHOP 2015||||||||||{}
00.4B.24|ITPC sur veine hépatique|PTKI an Lebervenen|PCI di vene epatiche|CHOP 2015||||||||||{}
00.4B.25|ITPC sur veines viscérales|PTKI an visceralen Venen|PCI di vene viscerali|CHOP 2015||||{Lebervenen (00.4B.24)}|{Veines hépatiques (00.4B.24)}|{Vene epatiche (00.4B.24)}||||{}
00.4B.26|ITPC sur autre veine abdominale|PTKI an anderen abdominalen Venen|PCI di altre vene addominali|CHOP 2015||||||||||{}
00.4B.27|ITPC sur veine de la cuisse|PTKI an Oberschenkel- Venen|PCI di vene della coscia|CHOP 2015||||{Epifasziale Venen (00.4B.30)}|{Veines épifasciales (00.4B.30)}|{Vene epifasciali (00.4B.30)}||||{}
00.4B.28|ITPC sur veine de la jambe|PTKI an Unterschenkel- Venen|PCI di vene della gamba|CHOP 2015||||{Epifasziale Venen (00.4B.30)}|{Veines épifasciales (00.4B.30)}|{Vene epifasciali (00.4B.30)}||||{}
00.4B.29|ITPC sur autres veines|PTKI an sonstige Venen|PCI di altre vene|CHOP 2015||||||||||{}
00.4B.3|Intervention transluminale percutanée par cathétérisme (ITPC) sur des veines épifasciales|Perkutane transluminale Katheterintervention (PTKI) an epifaszialen Venen|Cateterismo interventistico percutaneo transluminale (PCI) di vene epifasciali|CHOP 2015||||||||||{}
00.4B.30|ITPC sur veine épifasciale, SAP|PTKI an epifaszialen Venen, n.n.bez.|PCI di vene epifasciali, NAS|CHOP 2015||||||||||{}
00.4B.31|ITPC sur la veine grande saphène|PTKI an der V. saphena magna|PCI della safena magna|CHOP 2015||||||||||{}
00.4B.32|ITPC sur la veine petite saphène|PTKI an der V. saphena parva|PCI della safena parva|CHOP 2015||||||||||{}
00.4B.33|ITPC sur rameaux latéraux épifasciaux de la jambe|PTKI an epifaszialen Seitenäste des Beines|PCI dei rami collaterali epifasciali della gamba|CHOP 2015||||||||||{}
00.4B.34|ITPC sur veine épifasciale du bras|PTKI an epifaszialen Armvenen|PCI di vene epifasciali del braccio|CHOP 2015||||||||||{}
00.4B.39|ITPC sur veine épifasciale d'autre site|PTKI an epifaszialen Venen, sonstige Lokalisation|PCI di vene epifasciali di altra sede|CHOP 2015||||||||||{}
00.4B.4|Intervention transluminale percutanée par cathétérisme (ITPC) sur vaisseaux artificiels|Perkutane transluminale Katheterintervention (PTKI) an künstlich angelegten Gefässen|Cateterismo interventistico percutaneo transluminale (PCI) di vasi artificiali|CHOP 2015|||||||{Bypass, Interponat, Shunt sowohl mit Fremdmaterial als auch mit autologem Material}|{Pontage, prothèse d'interposition ou shunt, avec matériel allogène ou autologue}|{Bypass, interposizione, shunt sia di materiale eterologo che di materiale autologo}|{}
00.4B.40|Intervention transluminale percutanée par cathétérisme (ITPC) sur vaisseaux artificiels, SAP|Perkutan transluminale Katheterintervention (PTKI) an künstlich angelegten Gefässen, n.n.bez.|Cateterismo interventistico percutaneo transluminale (PCI) di vasi artificiali, NAS|CHOP 2015||||||||||{}
