KT;Inst;Adr;Ort;Typ;RForm;Akt;SL;WB;AnzStand;SA;PtageStatT;AustStatT;NeugStatT;Ops;Gebs;CMIb;CMIn;pPatWAU;pPatWAK;pPatLKP;pPatHOK;PersA;PersP;PersMT;PersT;PersAFall;PersPFall;PersMTFall;PersTFall;AnzBelA;AnzBelP;AwBesold;AwInvest;AwSonst;AwT;EtMedL;EtSonst;EtSubv;FiErg;PtageStatA;AustStatA;BettenStatA;DADStatA;pBettenBelStatA;KostAmbA;KostOKPAmbA;KostStatA;KostKVGStatA;AnlKVGStatA;KostZvOKPStatA;AnlZvOKPStatA;KostLangA;AuftragLFA;ErlAmbA;ErlOKPAmbA;ErlStatA;ErlKVGStatA;ErlKVGStatVA;ErlZvOKPStatA;ErlZvOKPStatVA;ErlLangA;PtageStatP;AustStatP;BettenStatP;DADStatP;pBettenBelStatP;KostAmbP;KostOKPAmbP;KostStatP;KostKVGStatP;AnlKVGStatP;KostZvOKPStatP;AnlZvOKPStatP;KostLangP;AuftragLFP;ErlAmbP;ErlOKPAmbP;ErlStatP;ErlKVGStatP;ErlKVGStatVP;ErlZvOKPStatP;ErlZvOKPStatVP;ErlLangP;PtageStatR;AustStatR;BettenStatR;DADStatR;pBettenBelStatR;KostAmbR;KostOKPAmbR;KostStatR;KostKVGStatR;AnlKVGStatR;KostZvOKPStatR;AnlZvOKPStatR;KostLangR;AuftragLFR;ErlAmbR;ErlOKPAmbR;ErlStatR;ErlKVGStatR;ErlKVGStatVR;ErlZvOKPStatR;ErlZvOKPStatVR;ErlLangR;PtageStatB;AustStatB;BettenStatB;DADStatB;pBettenBelStatB;KostAmbB;KostOKPAmbB;KostStatB;KostKVGStatB;AnlKVGStatB;KostZvOKPStatB;AnlZvOKPStatB;KostLangB;AuftragLFB;ErlAmbB;ErlOKPAmbB;ErlStatB;ErlKVGStatB;ErlKVGStatVB;ErlZvOKPStatB;ErlZvOKPStatVB;ErlLangB
AG;Schützen Rheinfelden AG Klinik & Ambulatorium;Bahnhofstrasse 19;4310 Rheinfelden;K212;R1;P;;Arzt, BGs;3;;31790;680;0;0;0;;;1.43;61.32;37.74;90.66;21.01;57.95;43.43;142.74;3.09;8.52;6.39;20.99;;;15751231;1818807;6817986;28160923;30989908;7663;75535;2912182;;;;;;;;;;;;;;;;;;;;;;;31790;680;99;46.8;92.3;4401576;4401576;23668510;12784628;845420;10883881;720172;0;90838;4309762;4275131;26838878;15195202;56.1;11560834;68.3;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AG;Klinik Im Hasel AG;Hasel 837;5728 Gontenschwil;K212;R1;P;;Arzt, BGs;3;;17108;186;0;0;0;;;0;48.03;0;100;2.89;8.31;20.89;52.75;1.55;4.47;11.23;28.36;;;6010084;966079;1786400;8762563;8380654;132758;90537;-158614;;;;;;;;;;;;;;;;;;;;;;;17108;186;50;92;98;1783986;1783986;6938880;6938880;792646;0;0;0;0;1586541;1569626;6895118;6803273;51.6;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AG;Klinik für Suchtmedizin KSM Drogenentzug / Übergang / Krisenintervention;Zürcherstrasse 52;5432 Neuenhof;K212;R2;P;;;3;;3507;138;0;0;0;;;0;43.06;0.69;100;0.3;4.35;5.84;12.26;0.22;3.15;4.23;8.88;;;1584137;107419;246306;1937862;2028410;3;0;94064;;;;;;;;;;;;;;;;;;;;;;;3507;138;10;25.4;104.8;0;0;1937862;1937862;95498;0;0;0;0;0;0;2028413;2028410;51;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AG;RehaClinic Zurzach;Quellenstrasse 34;5330 Bad Zurzach;K221;R1;R;;MSt, Arzt, BGs;3;;67453;2700;0;0;0;;;0.6;69.48;31.85;95.76;26.73;115.4;86.24;352.9;0.99;4.27;3.19;13.07;;;34925792;6275473;15607625;57633148;52877490;2775144;587678;-201450;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;67453;2700;205;25;90.2;4635231;0;46173061;29210379;3442201;12430552;1490695;0;1205209;5343249;0;46867018;27975449;51;12115177;51;0;;;;;;;;;;;;;;;;;;;;;;
AG;Reha Rheinfelden;Salinenstrasse 98;4310 Rheinfelden;K221;R2;R;;MSt, Arzt, BGs;1;;58292;2040;0;0;0;;;2.22;64.23;29.76;94.88;22.77;112.01;131.96;424.26;1.12;5.49;6.47;20.8;;;38464093;4016197;9817345;54899859;49660081;3124960;197532;872568;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58292;2040;175;28.6;91.1;7332628;5766229;45703168;30045211;3244053;12828748;1396340;0;0;1429363;0;44233444;0;;0;;0;;;;;;;;;;;;;;;;;;;;;;
AG;Rehaklinik Bellikon;Mutschellenstrasse 2;5454 Bellikon;K221;R4;R;;Arzt, BGs;1;;57527;1655;0;0;0;;;6.48;79.46;11.09;23.49;48.29;159.37;140.09;551.42;2.92;9.63;8.46;33.32;0;11853;53578908;6933945;13905606;75219797;71933634;2481256;149631;92361;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;57527;1655;205;34.8;94.6;11202451;1460803;58183710;16002759;810837;9227314;493997;0;0;8079748;665708;64529636;13042925;50.8;13290178;91.2;0;;;;;;;;;;;;;;;;;;;;;;
AG;aarReha Schinznach Rehabilitation, Rheumatologie;Badstrasse 55;5116 Schinznach Bad;K221;R2;R;;MSt, Arzt, BGs;1;;32565;1499;0;0;0;;;0.13;36.91;29.27;98.09;15.46;52.1;36.35;173.82;1.03;3.48;2.42;11.6;;;15922138;662872;3918615;22688953;21949941;1044995;0;939860;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;32565;1499;96;21.7;97.2;1762990;1655646;19896465;13150849;1575498;6423182;903105;0;0;1853818;1737128;20132803;12690423;51.4;5931033;51.4;0;;;;;;;;;;;;;;;;;;;;;;
AG;Bad Schinznach AG Privat­Klinik Im Park;Badstrasse 50;5116 Schinznach Bad;K221;R1;R;;;1;;19553;905;0;0;0;;;0.11;66.28;83.16;97.05;5;26.65;30.45;125.95;0.55;2.94;3.36;13.92;;;11168624;1682760;3399226;16254977;17618707;0;0;1363730;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19553;905;61.698630137;21.6;85.7;1191925;1191925;15058685;2746088;215011;11838940;1216469;0;0;1112701;1112701;16506006;2298404;49.7;8695714;49.2;0;;;;;;;;;;;;;;;;;;;;;;
AG;RehaClinic Baden;Bäderstrasse 16;5401 Baden;K221;R1;R;;MSt, Arzt, BGs;1;;15130;789;0;0;0;;;0.62;61.61;22.84;96.3;4.76;16.19;14.96;55.32;0.6;2.05;1.9;7.01;;;5349441;966852;1844537;8160830;9903125;555409;34987;2389525;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15130;789;48;19.2;85.2;954582;0;8540537;6062055;716858;1801904;214291;0;24710;1138213;0;8857724;6013324;51;1797568;51;0;;;;;;;;;;;;;;;;;;;;;;
AG;Privatklinik SALINA Salina Medizin AG;Roberstenstrasse 31;4310 Rheinfelden;K221;R1;R;;BGs;6;;8730;444;0;0;0;;;1.53;87.33;91.25;100;6.05;25.48;34.03;75.94;1.36;5.74;7.66;17.1;;;8393983;1836484;3921384;14151851;14258862;506725;0;613736;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8730;444;25.3479452055;19.7;98.9;8481870;7471571;5620294;444315;64064;5142696;985728;0;0;8381780;7242642;6542273;338507;47.1;6138093;64.4;0;;;;;;;;;;;;;;;;;;;;;;
AG;Geburtshus Storchenäscht AG;Hendschikerstrasse 12;5504 Othmarsingen;K232;R1;B;;;1;;1166;313;140;0;2;0.399;0.392;0;6.62;0;100;0;5.83;0;11.59;0;1.86;0;3.7;300;0;794483;93024;321916;1226540;1121500;71749;0;140183;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1166;313;4;3.7;41.6;147771;147771;1061651;1061651;75905;0;0;0;0;173475;173475;1193248;1121500;48.5;0;;0
AG;Klinik Barmelweid AG;;5017 Barmelweid;K235;R1;A, P, R;;MSt, Arzt, BGs;2;;55189;2598;0;0;0;;;0.51;35.84;21.19;98.65;32.73;96.29;64.29;220.58;1.26;3.71;2.47;8.49;517;3665;23918476;5430259;16073561;45422296;48113697;527564;715276;3934241;1649;500;5;3.3;90.5;1487580;1487580;3243767;2561460;333156;660577;19111;0;29173;1410550;1410550;3684408;2684340;54.9;411729;50.3;0;23877;557;67;42.9;97.5;1403119;1365700;16477630;13945182;1808219;2241868;67305;0;98383;1694610;1230875;17439780;13875092;50.9;2415896;50.9;0;29663;1541;88;19.2;93.4;179556;179556;21566829;15692543;2242257;5681625;181984;0;174233;171286;171286;24156116;15089924;43.3;5415572;49.4;0;;;;;;;;;;;;;;;;;;;;;;
AG;Klinik für Schlafmedizin;Badstrasse 33;5330 Bad Zurzach;K235;R1;A;;BGs;1;;989;63;0;0;0;;;15.87;77.36;38.1;100;3.03;8.65;3.51;20.22;4.81;13.73;5.57;32.1;;;2966344;361509;801005;4263393;4404118;59898;0;243446;989;63;4;15.7;72.4;3501245;0;1019159;625196;73395;393962;47277;0;0;3503205;0;842977;582559;51;195740;51;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AI;Kantonales Spital Appenzell;Sonnhalde 2a;9050 Appenzell;K123;R4;A;NF;BGs;1;;4718;937;0;2;0;0.869;0.841;1.39;35.71;27.11;81.32;4.6;32.94;20.39;96.4;0.49;3.52;2.18;10.29;;;8615157;1648127;6428066;16886430;11653561;1038085;2694974;-2691974;4718;937;18;5;84.9;3795256;3400592;10252458;5817399;539801;3324095;317057;0;0;3279175;2697762;8754432;4428685;45.7;3317846;69.7;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AI;Hof Weissbad AG Nachbehandlungszentrum;Im Park 1;9057 Weissbad;K221;R1;R;;;1;;6187;406;0;0;0;;;1.97;93.72;96.55;97.29;2.3;4.04;11.82;170.7;0.57;1;2.91;42.04;;;10780683;3032100;6310401;20123184;5264494;15549094;0;638794;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6187;406;18;15.2;100;0;0;3955355;171625;22622;3783730;634118;0;0;0;0;20810173;151999;49;4035262;62.5;0;;;;;;;;;;;;;;;;;;;;;;
AR;Spitalverbund Appenzell Ausserrhoden, Akutsomatisches Spital Heiden/Herisau;Krombach 3;9101 Herisau;K121;R4;A;NF;MSt, Arzt, BGs;1;MRI, CT;42323;8396;1164;5;5;0.753;0.734;0.49;46.63;16.18;94.91;79.49;239.24;89.22;556.66;0.95;2.85;1.06;6.63;10710;0;61541030;8399884;28429751;98497545;86534000;8095134;2901572;-1191236;42323;8396;139.8109589041;5;83;22859092;21107594;65516195;47425476;3592398;9145684;692770;0;425278;17830108;16654940;70883256;44906990;51;8660009;51;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AR;Spitalverbund Appenzell Ausserrhoden, Psychiatrisches Zentrum;Krombach 3;9100 Herisau;K212;R4;P;;BGs;1;;22280;717;0;0;0;;;0.96;42.56;5.23;95.04;14.67;137.33;14.24;291.06;2.05;19.15;1.99;40.59;;;15262644;4000849;4634342;23939032;17533838;918490;5462439;-1011122;;;;;;;;;;;;;;;;;;;;;;;22280;717;62.2876712329;31.1;96.6;3714481;3184720;14867364;14867364;1680648;0;0;0;152197;4060739;2257783;14966839;14819286;51;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AR;Klinik Gais AG Kardiale Rehabilitation, Psychosomatik und Psychotherapie;Gäbrisstrasse 1172;9056 Gais;K221;R1;R;;Arzt, BGs;1;;43824;1812;0;0;0;;;2.21;95.26;24.94;99.5;17.25;17.61;28.61;123.47;0.95;0.97;1.58;6.81;;;15899923;3309364;3125613;22334900;19559268;1318546;1457086;-1457086;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;43824;1812;130;24.2;95.7;284562;284562;20532018;14980538;2568834;5458675;846109;0;0;458361;458361;19077380;13465525;36.3;5521750;100;0;;;;;;;;;;;;;;;;;;;;;;
AR;Rheinburg­Klinik AG;Dorf;9428 Walzenhausen;K221;R1;R;;Arzt, BGs;1;;20163;724;0;;;;;8.31;90.65;57.01;98.96;7.31;30.45;21.7;95.21;1.01;4.21;3;13.15;;;11457419;2223266;2617064;16539045;16451843;578315;0;556146;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20163;724;60;27.8;90.5;341792;341792;16057630;6662591;789987;9164878;1333202;0;0;416828;416828;16833796;6133041;47;9921630;47;0;;;;;;;;;;;;;;;;;;;;;;
AR;Hirslanden Klinik Am Rosenberg AG;Hasenbühlstrasse 11;9410 Heiden;K231;R1;A;;Arzt, BGs;1;;15380;3624;0;5;0;1.073;1.043;1.71;88.01;46.92;69.47;5.48;85.84;19.45;185.09;0.15;2.37;0.54;5.11;28727;1926;17471812;2402459;12674250;32548521;34111653;2388053;77550;4642181;15380;3624;57.7260273973;4.2;73;1865360;1520872;38356954;14236544;1550300;14810595;1704282;0;232650;1307656;890563;37936638;13794402;51;13087422;51;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AR;Berit Paracelsus­Klinik AG;Steinweg 1;9052 Niederteufen;K231;R1;A, R;;BGs;1;;8559;1935;0;2;0;1.068;1.053;0.67;92.4;31.63;69.56;0;31.27;12.62;76.67;0;1.62;0.65;3.96;0;0;14298563;2268735;6829365;23396663;23630622;295987;0;998895;7927;1883;26.5068493151;4.2;82.6;1625240;1437919;20164219;10871676;718367;6573138;450286;0;0;1339456;1126238;21905181;9912130;47.9;8853783;77.7;0;;;;;;;;;;;;;;;;;;;;;;;632;52;1.8547945205;12.2;98.5;0;0;429533;264419;32514;165114;20542;0;0;0;0;391585;226802;50.8;164783;58.8;0;;;;;;;;;;;;;;;;;;;;;;
AR;Augenklinik Dr. A. Scarpatetti AG;Gremmstrasse 17;9053 Teufen AR;K235;R1;A;NF;;1;;134;71;0;2;0;;;0;76.06;12.68;100;2.72;3.46;4.16;19.62;3.83;4.87;5.86;27.63;;;2486569;81539;1428858;3999523;4797615;8104;0;806196;134;71;2;1.9;28.2;3703225;3703225;507628;39466;4757;417037;44351;0;0;3968243;0;829373;34027;51;362960;51;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BE;Inselspital Bern;Freiburgstrasse 18;3010 Bern;K111;R2;A, R;NF, IPS;MSt, Arzt, BGs;1;MRI, CT, PET, CC, LB, Lito;255358;41318;1078;34;5;1.602;1.533;1.07;25.52;16.96;69.88;1146.49;2574.22;835.74;6590.22;2.77;6.23;2.02;15.95;;;743676026;75751081;384770571;1204197678;1105276704;48362563;85221626;36015315;248877;41143;876.5616438356;6;78;341840521;301320965;734454317;497267151;38072357;116578022;9019871;0;83824473;309049872;277643808;775288302;499122732;48.2;117229010;53.8;101940326;;;;;;;;;;;;;;;;;;;;;;;6481;175;18.4712328767;37;95.6;0;0;10256366;6942950;524798;1997191;151215;0;0;0;0;11456270;7225122;49.8;2064999;57.6;0;;;;;;;;;;;;;;;;;;;;;;
BE;Lindenhof AG;Bremgartenstrasse 117;3012 Bern;K112;R1;A, P;NF, IPS;MSt, Arzt, BGs;4;MRI, CT, CC, LB, Lito;126981;27526;2033;19;6;1.004;0.967;0.44;16.01;26.36;94.87;54.95;824.15;180.02;1643.06;0.2;2.99;0.65;5.97;203950;0;172097373;30225329;194050665;397712425;383946350;18905459;1113051;6252435;122760;27451;366.3945205479;4.5;84.3;68733445;64583774;314542337;192691525;16985684;88030219;7694515;0;441832;68187866;63941337;320578309;170099667;46.1;77368322;46.1;0;4221;75;11.8109589041;56.3;100;1253508;1253508;3478274;2516048;505773;601586;86407;0;0;1210275;153667;3532225;2361593;44.9;591975;45;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BE;Spital Netz Bern AG;Morillonstrasse 77;3007 Bern;K112;R1;A, R;NF, IPS;MSt, Arzt, BGs;6;MRI, CT;124898;19420;461;12;3;0.958;0.911;0.51;4.79;14.94;93.95;217.04;692.34;221.26;1641.05;1.12;3.57;1.14;8.45;0;0;179862102;16446230;78190111;274498443;240922773;15116389;3035388;-15423893;91801;17364;338;5.3;73.9;42920082;36104711;169328445;133067827;8382159;26451006;1763076;6712;3449860;58533559;29285171;166269811;122505421;45;32216973;45;2290;;;;;;;;;;;;;;;;;;;;;;;33097;2056;102;16.1;91.4;2007293;1970442;29990863;22220673;1653383;7369823;604136;0;222300;2111205;1921414;31264279;21020629;45;9875622;45;0;;;;;;;;;;;;;;;;;;;;;;
BE;Hirslanden Bern AG;Schänzlihalde 11;3013 Bern;K112;R1;A;NF, IPS;MSt, Arzt, BGs;5;MRI, CT, Lito;93242;19833;991;16;4;1.181;1.134;0.27;18.48;28.49;89.68;60.06;557.45;99.41;1113.86;0.3;2.81;0.5;5.62;194014;10028;114625246;49613322;92100239;256338807;237089734;10343220;8903095;-8663805;93242;19833;310.8739726027;4.7;80.1;38010508;0;227421640;138389783;11221360;57482509;6554144;0;2933892;29479779;0;232568336;132919395;45;66134466;45;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BE;Spital Thun­Simmental­Saanenland AG;Krankenhausstrasse 12;3600 Thun;K112;R1;A, P;NF, IPS;MSt, Arzt, BGs;4;CT;78679;15581;1031;8;4;0.976;0.931;1.11;3.12;14.09;92.72;187.47;619.01;181.11;1276.13;1.2;3.97;1.16;8.19;13908;0;142641649;8827380;72418347;234758903;210393620;16912784;7352025;1015323;78679;15581;221.0712328767;5;94.9;60084555;54621665;147784329;113446602;8392694;27210837;1763165;0;663430;65281289;45577235;153709923;111092326;45.6;34951656;65.8;0;0;0;0;;;9845894;9006046;0;0;0;0;0;0;79030;11316321;5798629;0;0;;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BE;Spitalzentrum Biel;Vogelsang 84;2502 Biel;K112;R1;A, R;NF, IPS;MSt, Arzt, BGs;1;MRI, CT, Lito;74293;12683;772;5;5;0.953;0.928;0.68;6.87;15.67;93.53;170.66;478.82;109.44;1105.01;1.35;3.78;0.86;8.71;49425;0;118278476;10700795;56809989;185885685;177967376;6068330;1849980;-344116;70269;12384;232;5.7;94.7;64133060;58761510;127609129;96798525;11929039;23601852;2600867;0;0;55070844;50848933;127887647;85385514;59.1;23487174;58.6;0;;;;;;;;;;;;;;;;;;;;;;;4024;299;10;13.5;85.8;0;0;2757284;2757284;296670;0;0;888037;0;0;0;2260597;2251650;37.6;0;;322483;;;;;;;;;;;;;;;;;;;;;;
