KT;Inst;Adr;Ort;Typ;RWStatus;Akt;SL;WB;AnzStand;SA;PtageStatT;AustStatT;NeugStatT;Ops;Gebs;CMIb;CMIn;pPatWAU;pPatWAK;pPatLKP;pPatHOK;PersA;PersP;PersMT;PersT;PersAFall;PersPFall;PersMTFall;PersTFall;AnzBelA;AnzBelP;AwBesold;AwInvest;AwSonst;AwT;EtMedL;EtSonst;EtSubv;FiErg;PtageStatA;AustStatA;BettenStatA;DADStatA;pBettenBelStatA;KostAmbA;KostOKPAmbA;KostStatA;KostKVGStatA;AnlKVGStatA;KostZvOKPStatA;AnlZvOKPStatA;KostLangA;AuftragLFA;ErlAmbA;ErlOKPAmbA;ErlStatA;ErlKVGStatA;ErlKVGStatVA;ErlZvOKPStatA;ErlZvOKPStatVA;ErlLangA;PtageStatP;AustStatP;BettenStatP;DADStatP;pBettenBelStatP;KostAmbP;KostOKPAmbP;KostStatP;KostKVGStatP;AnlKVGStatP;KostZvOKPStatP;AnlZvOKPStatP;KostLangP;AuftragLFP;ErlAmbP;ErlOKPAmbP;ErlStatP;ErlKVGStatP;ErlKVGStatVP;ErlZvOKPStatP;ErlZvOKPStatVP;ErlLangP;PtageStatR;AustStatR;BettenStatR;DADStatR;pBettenBelStatR;KostAmbR;KostOKPAmbR;KostStatR;KostKVGStatR;AnlKVGStatR;KostZvOKPStatR;AnlZvOKPStatR;KostLangR;AuftragLFR;ErlAmbR;ErlOKPAmbR;ErlStatR;ErlKVGStatR;ErlKVGStatVR;ErlZvOKPStatR;ErlZvOKPStatVR;ErlLangR;PtageStatB;AustStatB;BettenStatB;DADStatB;pBettenBelStatB;KostAmbB;KostOKPAmbB;KostStatB;KostKVGStatB;AnlKVGStatB;KostZvOKPStatB;AnlZvOKPStatB;KostLangB;AuftragLFB;ErlAmbB;ErlOKPAmbB;ErlStatB;ErlKVGStatB;ErlKVGStatVB;ErlZvOKPStatB;ErlZvOKPStatVB;ErlLangB
AG;Klinik für Schlafmedizin;Badstrasse 33;5330 Bad Zurzach;K235;priv;A;;BGs;1;;1368;92;0;0;0;;;11.9565;67.9012;36.9565;100;2.47;7.18;3.96;18.64;2.68;7.8;4.3;20.26;0;0;2898798;393658;1085395;4377851;4434000;75571;0;155648;1368;92;6;14.9;62.5;2846478;2846478;1423237;142323;11075;1280914;99673;0;0;3269831;3269816;1154947;115452;50;1039080;50;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AI;Kantonales Spital Appenzell;Sonnhalde 2a;9050 Appenzell;K123;oeff;A;NF;BGs;1;;6320;1089;77;2;1;0.7982954545;0.7635972028;1.5707;25.3996;25.9162;83.5079;3.91;45.98;22.23;115.34;0.36;4.22;2.04;10.59;18;0;9856954;1703381;6596886;18157221;12850498;1007862;3357391;-3357391;6320;1089;27;5.8;64;4043631;3516748;12009724;6948521;578779;2760812;237365;0;0;3334032;2797506;9802097;5061968;59.5;2100983;65.6;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AI;Hof Weissbad AG Nachbehandlungszentrum;Im Park 1;9057 Weissbad;K221;priv;R;;;1;;6246;377;0;0;0;;;0.8696;90.7692;94.7826;92.7536;2.3;4.04;11.35;169.99;0.61;1.07;3.01;45.09;0;0;10168422;3068276;6009146;19245844;4600967;15301667;0;5.16E+05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6246;377;18;16.6;95.1;1534691;1534691;3707732;221867;29067;3485865;587022;0;0;2070548;0;17832086;160930;50;3507684;68;0;;;;;;;;;;;;;;;;;;;;;;
AR;Spitalverbund AR Akutsomatisches Spital;Krombach 3;9101 Herisau;K122;oeff;A;IPS;MSt, Arzt, BGs;1;MRI, CT;33853;6419;1186;5;5;0.7729826544;0.7344036794;0.5357;41.1772;16.1375;96.7725;65.3;225.87;83.39;518.27;1.02;3.52;1.3;8.07;32;0;48018239;7287578;24122301;79428118;78436184;2176915;548066;1733047;33853;6419;156;5.3;59.3;22488023;20368012;54074604;39614585;3279611;7888182;655340;0;0;15182857;13935954;62905422;41520513;52;8284677;54;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AR;Spitalverbund AR Psychiatrisches Zentrum;Krombach 3;9100 Herisau;K211;oeff;P;;BGs;1;;21092;629;0;0;0;;;0;34.3899;0.6339;99.3661;13.83;126.89;13.54;267.8;2.2;20.17;2.15;42.58;0;0;23237198;3818572;5631738;32687508;20303155;600138;14457360;2673145;;;;;;;;;;;;;;;;;;;;;;;21092;629;57.6;33.5;100;2722664;2566821;14557013;14557013;1974331;0;0;11002698;0;2145367;2024292;19496325;8750120;36.2;0;;9333164;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AR;Klinik Gais AG Fachklinik für kardiale & psychosomatische Rehabilitation;Gäbrisstrasse 1172;9056 Gais;K221;priv;R;;Arzt, BGs;1;;40365;1667;0;0;0;;;2.524;95;26.9832;99.4591;15.03;14.95;22.59;114.39;0.9;0.9;1.36;6.86;0;0;11269174;278557;5406412;17252982;16474177;1406996;0;628191;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40365;1667;120;24.2;92.2;0;0;14852178;10440430;0;3249566;0;0;0;67852;0;16036899;10744538;36.4;5262121;100;0;;;;;;;;;;;;;;;;;;;;;;
AR;Rheinburg­Klinik;Dorf;9428 Walzenhausen;K221;priv;R;;Arzt, BGs;1;;20129;700;0;0;0;;;8.1879;86.5497;59.8658;95.5705;8.05;30.09;21.86;99.68;1.15;4.3;3.12;14.24;0;0;10789762;2123216;2525784;15490022;15880953;612312;0;1008163;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20129;700;60;28.8;91.9;312707;312707;14902878;6100906;715546;8123501;952767;0;49925;390192;390192;16103068;5391794;100;7002097;100;0;;;;;;;;;;;;;;;;;;;;;;
AR;Hirslanden Klinik am Rosenberg;Hasenbühlstrasse 11;9410 Heiden;K231;priv;A;;Arzt, BGs;1;;19108;3320;0;4;0;1.0870307645;1.0646774292;4.0462;86.0812;52.2969;68.4515;5.44;57.15;44.74;169.42;0.16;1.72;1.35;5.1;23;0;16665135;2515417;10376948;29557500;31581017;2578787;0;4602304;19108;3320;59.1;5.8;88.3;3153639;3153639;27769203;8830980;1919362;11100407;2359907;0;438300;892296;888407;27149978;7807845;51;11889072;51;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AR;Berit Paracelsus­Klinik AG;Steinweg 1;9052 Niederteufen;K231;priv;A, R;;BGs;1;;10060;1691;0;2;0;1.2493218036;1.2242995676;0.1796;90.9418;36.7066;74.9102;0.5;30.19;10.64;75.13;0.03;1.79;0.63;4.44;43;0;6820980;1938145;12770904;21534868;22143247;281063;0;897878;9330;1637;25.3;5.7;100.6;1669473;1472762;18625106;8368476;663855;8073924;525515;0;0;1516049;1269097;20385571;9782001;50.8;8520874;70.3;0;;;;;;;;;;;;;;;;;;;;;;;730;54;2;13.5;101.1;0;0;432522;212200;31482;220322;31802;0;0;0;0;406409;188687;51.9;217467;60.8;0;;;;;;;;;;;;;;;;;;;;;;
AR;Augenklinik Dr. med. A. v. Scarpatetti AG;Gremmstrasse 17;9053 Teufen AR;K235;priv;A;NF;;1;;1732;776;0;2;0;;;1.2121;84.6626;9.0909;96.9697;2.49;5.66;2.74;19.6;0.32;0.73;0.35;2.53;1;0;2262536;542548;1355017;4307172;5148766;134195;0;975788;1732;776;18.5;2.2;25.5;3251058;3251058;1488637;1414933;533034;82017;33348;0;0;4270395;4270395;1321476;1223604;51.7;70753;51.5;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BE;Inselspital Bern;Freiburgstrasse 18;3010 Bern;K111;oeff;A, R;NF, IPS;MSt, Arzt, BGs;1;MRI, CT, PET, CC, LB, Lito;254987;37826;402;31;5;1.6263302796;1.5497624764;1.3059;25.3573;16.9226;88.919;1084.55;2422.47;786.04;6239.82;2.87;6.4;2.08;16.5;0;0;714229599;59125023;367185312;1140539934;993677887;48797605;118228284;20398512;248956;37688;920.2;6.6;73.9;311940148;265322191;700459585;474003610;32137160;111353724;7608144;0;69467910;280299274;240797499;735405231;471967653;48.9;111257362;55.2;86743584;;;;;;;;;;;;;;;;;;;;;;;6031;138;20;43.7;82.4;0;0;10225005;6877514;459785;1661822;110825;0;0;0;0;9962410;6410671;49.8;1629294;57;0;;;;;;;;;;;;;;;;;;;;;;
BE;Spital Netz Bern AG;Morillonstrasse 77;3007 Bern;K112;oeff;A, R;NF, IPS;MSt, Arzt, BGs;6;MRI, CT;141325;20740;755;12;5;1.0250739725;0.9775602754;0.371;4.3113;16.696;93.7973;232.76;686.28;221.15;1675.03;1.12;3.31;1.07;8.08;47;9;184250273;9722263;76629073;290539837;262354544;27374613;0;0;106548;18939;384;5.6;75.8;56615436;48392221;180042514;108423510;10909228;27220560;2738846;851;0;42099720;35885735;194311840;108409063;45;27216931;45;1296;;;;;;;;;;;;;;;;;;;;;;;34777;1801;104;19.3;91.4;3146137;3018188;33309432;13838227;1957048;8883799;1256377;0;0;1801652;1743840;29695637;10725475;44.8;6885490;45;0;;;;;;;;;;;;;;;;;;;;;;
BE;Hirslanden Bern AG;Schänzlihalde 11;3013 Bern;K112;priv;A;NF, IPS;MSt, Arzt, BGs;3;MRI, CT, Lito;85974;19149;1095;16;3;1.1293774782;1.0562628864;0.2744;17.7197;30.8222;91.0048;74.49;423.45;252.57;1078.91;0.39;2.21;1.32;5.63;205;0;106527078;46085447;88966718;241579243;201273210;18052020;20156614;-20156614;85974;19149;293.4;4.5;80.1;38958878;0;215696233;122990790;10272757;79786966;6609040;0;0;32139715;0;161131964;89682267;45;43932051;45;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BE;Spitalzentrum Biel;Vogelsang 84;2502 Biel;K112;oeff;A, R;NF, IPS;MSt, Arzt, BGs;1;MRI, CT, Lito;83906;12297;606;5;5;0.9258819778;0.8849921981;0.5879;5.1702;15.7293;91.8653;150.44;468.34;111.98;1087.39;1.22;3.81;0.91;8.84;36;3;115226166;11680605;50438616;177345387;165428412;10560775;0;-1356200;80082;12076;233.3;6.6;93.8;56925485;52176098;117977734;84181339;10584635;22344771;2725012;0;2521000;49515125;45819267;123490579;78583620;63.6;22902155;63.2;0;;;;;;;;;;;;;;;;;;;;;;;3824;221;11;17.3;95;0;0;3231432;3231432;416513;0;0;908641;0;0;0;2625455;2581864;45.6;0;;358037;;;;;;;;;;;;;;;;;;;;;;
BE;Spital Thun­Simmental­Saanenland AG;Krankenhausstrasse 12;3600 Thun;K112;oeff;A;NF, IPS;MSt, Arzt, BGs;3;CT;81493;15434;663;8;4;1.0069388165;0.941740035;1.1487;3.5056;14.9458;92.3121;173.81;630.2;145.47;1220.17;1.13;4.08;0.94;7.91;41;0;133373637;9866518;84587716;231684963;205183076;17058327;10465534;1042605;81493;15434;267.7;5.3;83.2;61775506;55010517;145158205;112119003;8408842;26016089;1973347;0;2963720;49462080;44784894;156234737;112821062;45.5;36248908;65.2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BE;Lindenhofspital;Bremgartenstrasse 117;3012 Bern;K112;priv;A, P;NF, IPS;BGs;1;MRI, CT, LB;66316;14026;612;12;3;1.0050393595;0.9475874992;0.2113;13.7372;29.5159;94.4521;13.57;436.17;97.32;826.47;0.1;3.11;0.69;5.89;160;0;81127913;22666999;102208364;206006047;193324576;11047167;1634306;-1357391;61289;13933;230;4.4;72.8;38560914;38560914;140926945;87862496;5828516;48409482;3150658;0;0;41235048;41235048;139425716;88513068;45;46007002;46.9;0;5027;93;15;54.1;91.6;848963;848963;3656440;3256006;565482;307442;56635;0;0;645823;645823;3847898;3281297;58.1;404708;53.3;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
