canton;name;address1;address2;bfs_typo;RWStatus;Akt;SL;WB;AnzStand;SA;PtageStatT;AustStatT;NeugStatT;Ops;Gebs;CMIb;CMIn;pPatWAU;pPatWAK;pPatLKP;pPatHOK;PersA;PersP;PersMT;PersT;PersAFall;PersPFall;PersMTFall;PersTFall;AnzBelA;AnzBelP;AwBesold;AwInvest;AwSonst;AwT;EtMedL;EtSonst;EtSubv;FiErg;PtageStatA;AustStatA;BettenStatA;DADStatA;pBettenBelStatA;KostAmbA;KostOKPAmbA;KostStatA;KostKVGStatA;AnlKVGStatA;KostZvOKPStatA;AnlZvOKPStatA;KostLangA;AuftragLFA;ErlAmbA;ErlOKPAmbA;ErlStatA;ErlKVGStatA;ErlKVGStatVA;ErlZvOKPStatA;ErlZvOKPStatVA;ErlLangA;PtageStatP;AustStatP;BettenStatP;DADStatP;pBettenBelStatP;KostAmbP;KostOKPAmbP;KostStatP;KostKVGStatP;AnlKVGStatP;KostZvOKPStatP;AnlZvOKPStatP;KostLangP;AuftragLFP;ErlAmbP;ErlOKPAmbP;ErlStatP;ErlKVGStatP;ErlKVGStatVP;ErlZvOKPStatP;ErlZvOKPStatVP;ErlLangP;PtageStatR;AustStatR;BettenStatR;DADStatR;pBettenBelStatR;KostAmbR;KostOKPAmbR;KostStatR;KostKVGStatR;AnlKVGStatR;KostZvOKPStatR;AnlZvOKPStatR;KostLangR;AuftragLFR;ErlAmbR;ErlOKPAmbR;ErlStatR;ErlKVGStatR;ErlKVGStatVR;ErlZvOKPStatR;ErlZvOKPStatVR;ErlLangR;PtageStatB;AustStatB;BettenStatB;DADStatB;pBettenBelStatB;KostAmbB;KostOKPAmbB;KostStatB;KostKVGStatB;AnlKVGStatB;KostZvOKPStatB;AnlZvOKPStatB;KostLangB;AuftragLFB;ErlAmbB;ErlOKPAmbB;ErlStatB;ErlKVGStatB;ErlKVGStatVB;ErlZvOKPStatB;ErlZvOKPStatVB;ErlLangB
AG;RehaClinic Zurzach;Quellenstrasse 34;5330 Bad Zurzach;K221;priv;R;;MSt, Arzt, BGs;3;;76574;3283;0;0;0;;;1.0411;76.3589;32.0995;95.6044;29.16;118.78;109.81;382.7;0.89;3.62;3.34;11.66;5;0;38353953;7587263;12619775;58560991;57507873;2820329;0;2813496;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;76574;3283;236;23.3;88.9;4748889;4117482;47666703;30338133;3365218;13468734;1494002;0;413383;5838067;5239145;49006426;29007892;100;12878170;100;0;;;;;;;;;;;;;;;;;;;;;;
AG;Rehaklinik Bellikon;Mutschellenstrasse 2;5454 Bellikon;K221;oeff;R;;Arzt, BGs;1;;70059;1527;0;0;0;;;6.5064;83.5737;10.2579;17.7608;48.67;111.08;123.32;468.8;3.19;7.27;8.08;30.7;0;0;46302911;9888452;12161533;69371369;66309767;2403800;0;160262;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;70059;1527;205;45.9;93.6;10395738;1016714;50019291;9862599;629214;6916553;451273;0;0;8558313;446578;58307974;8052542;100;10540541;100;0;;;;;;;;;;;;;;;;;;;;;;
AG;Reha Rheinfelden;Salinenstrasse 98;4310 Rheinfelden;K221;priv;R;;MSt, Arzt, BGs;1;;55736;1978;0;0;0;;;1.9211;60.2062;35.1365;93.8827;21.48;94.46;115.09;366.09;1.09;4.78;5.82;18.51;0;0;34820602;3408337;8751691;47955741;45836004;1837762;0;311679;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;55736;1978;173;28.2;88.3;6231473;0;41902143;24963321;2740200;12897791;1443338;0;0;4116278;0;41966323;0;;0;;0;;;;;;;;;;;;;;;;;;;;;;
AG;aarReha Schinznach Rehabilitation, Rheumatologie;Badstrasse 55;5116 Schinznach Bad;K221;priv;R;;Arzt, BGs;1;;31487;1500;0;0;0;;;0.194;38.8205;32.9884;95.925;13.94;32.81;33.8;140.6;0.93;2.19;2.25;9.37;0;0;12657262;726012;3680077;17545603;16177473;417825;452294;-452294;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31487;1500;96;21;89.9;1774387;1665399;16664252;10783448;1533724;5512019;772553;0;0;1644857;1544365;14335353;8173985;100;5719586;100;0;;;;;;;;;;;;;;;;;;;;;;
AG;Bad Schinznach AG Privat­Klinik Im Park;Badstrasse 50;5116 Schinznach Bad;K221;priv;R;;;1;;17724;763;0;0;0;;;0.1244;65.878;86.0697;100;4.6;24.15;28.62;108.57;0.6;3.17;3.75;14.23;0;0;10292385;1592035;3402917;15287337;16087705;35195;0;835563;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17724;763;56.3;23.2;86.2;991085;991085;14296252;1897649;166420;11888348;1047191;0;0;1205723;1205723;14917177;1519881;100;12688468;100;0;;;;;;;;;;;;;;;;;;;;;;
AG;Privatklinik SALINA Salina Medizin AG;Roberstenstrasse 31;4310 Rheinfelden;K221;priv;R;;;1;;7449;406;0;0;0;;;0.2309;87.7315;45.9584;100;5.74;17.27;28.56;60.87;1.41;4.25;7.03;14.99;1;1;6469472;1388838;3118037;10976347;10362573;498633;115141;-115141;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7449;406;26.5;18.3;77.1;6440033;6392718;4660098;497668;6468;4083578;58184;0;0;5738790;5388129;5159627;383226;100;4632644;100;0;;;;;;;;;;;;;;;;;;;;;;
AG;Klinik Villa im Park AG;Bernstrasse 84;4852 Rothrist;K232;priv;A;;BGs;1;;8480;2519;736;2;2;0.652;0.619;0.0915;57.7405;16.7175;89.1397;0;44.7;9.9;81.51;0;1.77;0.39;3.24;62;10;7345632;1072043;5020096;13437771;13098474;214910;2500;-117567;8480;2519;32;3.4;72.6;228133;0;12956831;8924748;0;2858801;0;0;0;234903;0;12439617;7439252;100;1985910;100;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AG;Geburtshus Storchenäscht AG;Bahnhofstrasse 11;5600 Lenzburg;K232;priv;B;;;1;;567;126;126;0;2;0.437;0.531;0;5.6;2;100;0;3.25;0;17.35;0;2.58;0;13.77;0;3;366911;90395;138546;603220;613037;52976;0;63393;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;567;126;1.6;4.5;94.5;0;0;603222;603222;88818;0;0;0;0;216679;0;449334;396900;100;0;;0
AG;Klinik Barmelweid AG;;5017 Barmelweid;K235;oeff;A, P, R;;MSt, Arzt, BGs;1;;44974;2249;0;0;0;;;0.3387;33.39;24.6401;90.7705;30.29;99.39;48.11;218.22;1.35;4.42;2.14;9.7;7;0;22594953;923070;15019295;38591349;37989881;655499;0;54031;1838;457;7;4;71.9;1433766;1433766;3575221;2512938;50741;771813;17196;0;0;1257921;1257921;3120924;2150422;62.5;645317;62.7;0;14796;352;41;42;98.9;745284;707088;10603385;7720411;159899;2217354;45250;0;0;719339;687977;10842061;7216331;54.6;2071873;54.6;0;28340;1440;82;19.7;94.7;99442;99442;21381243;14528646;298766;6684920;133061;0;0;104632;104632;21964980;13033627;67.4;6177937;67.6;0;;;;;;;;;;;;;;;;;;;;;;
AG;Von Effinger­Stiftung Klinik im Hasel für Suchtkranke;Hasel 837;5728 Gontenschwil;K235;oeff;P;;Arzt;1;;15780;106;0;0;0;;;0;39.4558;0;89.1156;2.01;3.97;14.49;33.53;1.9;3.75;13.67;31.63;0;0;3704455;234208;1143073;5081736;4981964;92286;9698;2212;;;;;;;;;;;;;;;;;;;;;;;15780;106;45;148.9;96.1;0;0;5170888;5128693;291300;0;0;0;0;0;0;4996608;4966364;38.8;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AG;Klinik für Suchtmedizin KSM Drogenentzug / Übergang / Krisenintervention;Zürcherstrasse 52;5432 Neuenhof;K235;priv;P;;Arzt, BGs;1;;3076;161;0;0;0;;;0;12.9032;0;100;0.3;3.96;5.3;11.45;0.19;2.46;3.29;7.11;0;0;1199715;81086;308213;1589014;1262870;15;341678;15549;;;;;;;;;;;;;;;;;;;;;;;3076;161;10;19.1;84.3;0;0;1620431;1620431;112500;0;0;0;0;0;0;1604563;1262870;40.2;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AG;Klinik für Schlafmedizin;Badstrasse 33;5330 Bad Zurzach;K235;priv;A;;;1;;1470;138;0;0;0;;;6.5693;71.875;65.6934;100;2.2;6.97;4.38;18.42;1.59;5.05;3.17;13.35;0;0;2888866;427402;1082172;4398440;4435276;77129;0;154828;1470;138;10;10.7;40.3;2848246;2848246;1424123;108803;10240;979227;92160;0;0;3182424;3110511;1329981;121348;100;1092137;100;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AI;Kantonales Spital Appenzell;Sonnhalde 2a;9050 Appenzell;K123;oeff;A;NF;BGs;1;;7963;1347;145;2;1;0.688;0.693;1.3907;24.3116;23.9735;86.4238;2.6;50.44;24.25;120.26;0.19;3.74;1.8;8.93;22;0;9794625;1724763;6695777;18215165;10556728;940718;6370671;-6370671;7963;1347;27;5.9;80.8;3478160;2874096;13187000;8307975;639206;2975732;227124;0;0;2685522;2087682;8127342;3617774;100;1929894;69.1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AI;Hof Weissbad AG Nachbehandlungszentrum;Im Park 1;9057 Weissbad;K221;priv;R;;;1;;5878;364;0;0;0;;;3.9548;95;97.7401;96.0452;2.3;4.04;11.35;173.99;0.63;1.11;3.12;47.8;0;0;10419000;3114000;5921000;19454000;5096400;14765000;0;5.00E+05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5878;364;18;16.1;89.5;2397000;0;3855000;0;0;0;0;0;0;2033000;0;17862000;0;;0;;0;;;;;;;;;;;;;;;;;;;;;;
AR;Spitalverbund AR Akutsomatisches Spital;Krombach 3;9101 Herisau;K122;oeff;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AR;Spitalverbund AR Psychiatrisches Zentrum;Krombach 3;9100 Herisau;K211;oeff;P;;Arzt, BGs;1;;19700;510;0;0;0;;;4.0856;40.9736;0;99.8054;13.48;122.12;12.55;258.42;2.64;23.95;2.46;50.67;0;0;19927476;382409;5216902;25596279;13877000;1386020;9536875;-8098759;;;;;;;;;;;;;;;;;;;;;;;19700;510;54;38.6;99.9;3715160;3715160;11527563;11527563;217863;0;0;7860655;0;3272573;1546646;6276180;6258823;100;0;;6028273;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AR;Klinik Gais AG Fachklinik für kardiale & psychosomatische Rehabilitation;Gäbrisstrasse 1172;9056 Gais;K221;priv;R;;MSt, Arzt, BGs;1;;34738;1440;0;0;0;;;2.4733;94.7224;24.9332;99.5321;11.74;13.15;20.85;105.44;0.82;0.91;1.45;7.32;0;0;9892973;168774;3830790;14196737;11491912;1457625;0;1130143;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;34738;1440;120;24.1;79.3;262094;262094;14208411;10485008;1441556;3635415;487250;0;0;384248;349480;11110066;7635905;100;3409758;100;0;;;;;;;;;;;;;;;;;;;;;;
AR;Rheinburg­Klinik;Dorf;9428 Walzenhausen;K221;priv;R;;Arzt, BGs;1;;19746;665;0;0;0;;;7.8322;87.1017;57.7622;94.5455;7.34;38.94;31.6;117.39;1.1;5.86;4.75;17.65;0;0;10923317;2143697;2539936;15664210;14783658;604157;0;-243500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19746;665;60;29.7;90.2;731705;731705;14229402;6444504;649528;7219818;736101;0;0;433729;433729;14954082;5435597;100;6123125;100;0;;;;;;;;;;;;;;;;;;;;;;
AR;Hirslanden Klinik am Rosenberg;Hasenbühlstrasse 11;9410 Heiden;K231;priv;A;;MSt, BGs;1;;18028;2934;0;4;0;1.019;1.009;4.1837;87.043;67.3469;60.7823;6.16;52.93;43.35;158.55;0.21;1.8;1.48;5.4;25;0;15467777;1971909;9870996;27353355;28696967;2096656;0;3440267;18028;2934;56;6.1;88.2;3356245;3356245;23398023;3147520;357044;13400079;1443624;0;0;1188034;1184193;25643374;2630201;100;9760241;100;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AR;Berit Paracelsus­Klinik AG;Steinweg 1;9052 Niederteufen;K231;priv;A, R;;BGs;1;;9052;1339;0;2;0;1.015;0.991;0.6618;90.4515;40.7353;72.6471;0;24.14;8.26;58.48;0;1.8;0.62;4.37;0;0;5453183;1031906;10099069;16591902;16853895;252645;0;739603;7789;1241;21.3;6.3;100;1630081;1425125;14439359;6147442;566589;6545234;511556;0;0;1537330;1269955;14769873;6066092;100;7232090;100;0;;;;;;;;;;;;;;;;;;;;;;;1263;98;3.5;12.9;100;0;0;503629;0;0;0;0;0;0;0;0;543089;0;;0;;0;;;;;;;;;;;;;;;;;;;;;;
AR;Augenklinik Dr. med. A. v. Scarpatetti AG;Gremmstrasse 17;9053 Teufen AR;K235;priv;A;NF;;1;;1066;806;0;2;0;;;2.381;82.9268;98.4127;92.8571;2.53;5.47;2.52;18.39;0.31;0.68;0.31;2.28;4;0;2482305;428091;1315881;4226283;5310728;52030;0;1136477;1066;806;19.2;1.3;15.2;370399;370399;404483;0;0;404483;0;0;0;2621861;2555100;2740896;1784062;100;892030;100;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BE;Inselspital Bern;Freiburgstrasse 18;3010 Bern;K111;oeff;A, R;NF, IPS;MSt, Arzt, BGs;1;MRI, CT, CC, LB, Lito;296785;38386;877;34;5;1.397;1.436;1.3309;24.9375;16.8311;89.5637;1122.73;2491.39;796.35;6360.89;2.92;6.49;2.07;16.57;0;0;685506437;64580608;326642859;1077810593;926734801;93516971;97465000;42698653;290338;38266;900;7.6;88.4;281401666;235159850;665454486;436697111;36657169;101947565;8577736;0;96745513;268619865;230855231;703017182;425590410;54.4;99966020;56.5;97465000;;;;;;;;;;;;;;;;;;;;;;;6447;120;18;53.7;98.1;0;0;9275349;5625850;535267;1755360;163396;0;0;0;0;6521349;3059865;100;1060937;100;0;;;;;;;;;;;;;;;;;;;;;;
BE;Spital Netz Bern AG;Morillonstrasse 77;3007 Bern;K112;oeff;A, R;NF, IPS;MSt, Arzt, BGs;6;MRI, CT;144224;21458;787;12;5;0.917;0.896;0.3634;4.1138;16.6253;93.5321;229.06;782.9;229.04;1799.76;1.07;3.65;1.07;8.39;67;0;181647722;8051860;78073473;269815921;245578101;23128926;0;0;110414;19673;393.6;5.6;76.9;51786684;43109158;187515391;99169940;7894392;0;0;0;0;37169523;31323034;93944485;40541857;100;0;;0;;;;;;;;;;;;;;;;;;;;;;;33810;1785;104;18.9;89.1;988932;988881;15565975;8065832;863489;0;0;0;0;1248663;1229341;8597949;3300179;100;0;;0;;;;;;;;;;;;;;;;;;;;;;
BE;Hirslanden Bern AG;Schänzlihalde 11;3013 Bern;K112;oeff;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BE;Spitalzentrum Biel;Vogelsang 84;2502 Biel;K112;oeff;A, R;NF, IPS;MSt, Arzt, BGs;2;MRI, CT, Lito;85138;12487;891;6;5;0.838;0.866;0.4501;5.2824;16.0047;91.0225;140.06;484.61;117.3;1088.08;1.12;3.88;0.94;8.71;33;3;115683229;3517986;47084294;172129523;159371442;7118506;0;1157558;80848;12286;244;6.6;90.8;50717244;46171429;113841409;79604947;6921102;23201329;1854759;0;0;44613035;40906547;118312331;69104642;50.5;26861698;50;0;;;;;;;;;;;;;;;;;;;;;;;4290;201;13;21.3;90.4;0;0;3194329;3194329;296825;0;0;283541;0;0;0;3459225;3459225;32.5;0;;105359;;;;;;;;;;;;;;;;;;;;;;
BE;Spital Thun­Simmental­Saanenland AG;Krankenhausstrasse 12;3600 Thun;K112;oeff;A;NF, IPS;MSt, Arzt, BGs;5;CT;96900;15463;1022;9;4;0.915;0.895;1.4932;3.7119;16.7124;91.864;162.53;633.01;147.07;1207.53;1.05;4.09;0.95;7.81;42;2;127779189;5319915;68132644;201307970;120421712;16274469;65573772;997113;96900;15463;279.6;6.3;94.9;52457648;46820674;137522099;104249160;8086295;0;0;0;0;44640844;37647582;132439963;101372655;45.7;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BE;Lindenhofspital;Bremgartenstrasse 117;3012 Bern;K112;priv;A, P;NF, IPS;BGs;1;MRI, CT, LB;76320;13316;1121;12;3;0.932;0.896;0.2293;12.3825;31.2118;94.3302;13.39;426.64;107;822.29;0.1;3.2;0.8;6.18;140;0;74763142;21326740;95829682;191919564;180745086;10201641;996037;23199;71751;13222;221;5.4;88.9;32991390;30265700;127945775;79875760;4490094;44498843;2478079;0;0;36188135;35211757;134592181;79420500;100;52399087;100;0;4569;94;15;48.6;83.5;820391;820392;3514404;2456332;373873;694419;78200;0;0;655492;655492;4079433;2250078;100;663302;100;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BE;Regionalspital Emmental AG;Oberburgstrasse 54;3400 Burgdorf;K121;oeff;A;NF, IPS;MSt, Arzt, BGs;2;MRI, CT;51120;8097;472;6;3;0.876;0.865;0.3111;2.9242;10.6925;95.1492;94.65;272.02;110.37;656.1;1.17;3.36;1.36;8.1;31;0;72949761;4094508;39510263;117203114;104190829;9491625;1495300;973191;51120;8097;154.8;6.3;90.5;36701186;32581213;74867008;62060030;5303962;8885029;661724;0;0;32529648;28764299;73242726;61646147;45;7451661;100;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BE;Klinik Sonnenhof AG;Buchserstrasse 30;3006 Bern;K121;priv;A;NF, IPS;MSt, Arzt, BGs;2;MRI, CT;43905;10118;1059;8;3;0.95;0.906;0.2576;14.5008;29.371;93.6123;45.85;299.48;74.99;659.05;0.45;2.96;0.74;6.51;167;0;61432000;6781370;71074913;146627712;140356510;4305231;326552;2941360;43905;10118;139.5;4.3;86.2;27025235;23927407;110366858;62160399;3938100;34024128;1749733;0;0;27205399;23681800;117782897;62132180;100;33318155;100;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
