KT;Inst;Adr;Ort;Typ;RForm;Akt;SL;WB;AnzStand;SA;PtageStatT;AustStatT;NeugStatT;Ops;Gebs;CMIb;CMIn;pPatWAU;pPatWAK;pPatLKP;pPatHOK;PersA;PersP;PersMT;PersT;PersAFall;PersPFall;PersMTFall;PersTFall;AnzBelA;AnzBelP;AwBesold;AwInvest;AwSonst;AwT;EtMedL;EtSonst;EtSubv;FiErg;PtageStatA;AustStatA;BettenStatA;DADStatA;pBettenBelStatA;KostAmbA;KostOKPAmbA;KostStatA;KostKVGStatA;AnlKVGStatA;KostZvOKPStatA;AnlZvOKPStatA;KostLangA;AuftragLFA;ErlAmbA;ErlOKPAmbA;ErlStatA;ErlKVGStatA;ErlKVGStatVA;ErlZvOKPStatA;ErlZvOKPStatVA;ErlLangA;PtageStatP;AustStatP;BettenStatP;DADStatP;pBettenBelStatP;KostAmbP;KostOKPAmbP;KostStatP;KostKVGStatP;AnlKVGStatP;KostZvOKPStatP;AnlZvOKPStatP;KostLangP;AuftragLFP;ErlAmbP;ErlOKPAmbP;ErlStatP;ErlKVGStatP;ErlKVGStatVP;ErlZvOKPStatP;ErlZvOKPStatVP;ErlLangP;PtageStatR;AustStatR;BettenStatR;DADStatR;pBettenBelStatR;KostAmbR;KostOKPAmbR;KostStatR;KostKVGStatR;AnlKVGStatR;KostZvOKPStatR;AnlZvOKPStatR;KostLangR;AuftragLFR;ErlAmbR;ErlOKPAmbR;ErlStatR;ErlKVGStatR;ErlKVGStatVR;ErlZvOKPStatR;ErlZvOKPStatVR;ErlLangR;PtageStatB;AustStatB;BettenStatB;DADStatB;pBettenBelStatB;KostAmbB;KostOKPAmbB;KostStatB;KostKVGStatB;AnlKVGStatB;KostZvOKPStatB;AnlZvOKPStatB;KostLangB;AuftragLFB;ErlAmbB;ErlOKPAmbB;ErlStatB;ErlKVGStatB;ErlKVGStatVB;ErlZvOKPStatB;ErlZvOKPStatVB;ErlLangB
AG;Bad Schinznach AG Privat­Klinik Im Park;Badstrasse 50;5116 Schinznach Bad;K221;R1;R;;;1;;18780;825;0;0;0;;;0.3421;65.4462;83.1243;96.8073;4.9;25.04;27.93;120.65;0.59;3.04;3.39;14.62;;;10310058;1502987;3207937;15020982;17119966;32590;0;2131574;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18780;825;57;22.8;90.3;1165438;1165438;13855546;2363463;207771;10914303;1015278;0;0;1268261;1268261;15968052;2035275;50.4;8331890;49.9;0;;;;;;;;;;;;;;;;;;;;;;
AG;Privatklinik SALINA Salina Medizin AG;Roberstenstrasse 31;4310 Rheinfelden;K221;R1;R;;BGs;7;;8926;440;0;0;0;;;1.8957;87.6812;90.9953;99.763;5.34;19.65;30.14;65.6;1.21;4.47;6.85;14.91;;;7401303;1810770;3811711;13023784;13034015;514201;0;524432;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8926;440;25.3;20.3;96.5;11570858;3203796;1369869;71174;14060;858293;169555;0;0;12032667;3593123;1662339;56187;100;1019836;100;0;;;;;;;;;;;;;;;;;;;;;;
AG;Geburtshus Storchenäscht AG;Hendschikerstrasse 12;5504 Othmarsingen;K232;R1;B;;;1;;586;144;135;0;2;0.3188351254;0.3152698925;0.7067;6.4057;0.3534;100;0;5.17;0;9.06;0;3.59;0;6.29;;;536670;68305;263220;910519;872383;55940;0;161993;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;586;144;4;4.1;40.1;120000;120000;790518;790518;67949;0;0;0;0;144189;144189;928323;872383;50.8;0;;0
AG;Klinik Barmelweid AG;;5017 Barmelweid;K235;R1;A, P, R;;MSt, Arzt, BGs;2;;51332;2481;0;0;0;;;0.306;36.6462;22.8768;98.9288;33.65;100;67.99;225.53;1.36;4.03;2.74;9.09;;;23739522;4212802;19259776;47212100;46440169;602187;717803;548060;1681;489;5;3.4;92.1;1634549;1634549;3886777;2700959;258425;1090791;88558;0;26391;1599614;1542533;3084085;2098785;50.9;585615;53.3;0;20610;480;57;42.9;99.1;1471819;1445267;16844969;13026465;1415694;3382453;404795;0;89002;1454409;999608;15227243;11245609;50.9;1901797;51;0;29041;1512;88;19.2;90.4;189385;189385;25240470;18294001;1631266;6375829;729015;0;157618;192269;192269;25326554;16239485;50.3;5562556;49.9;0;;;;;;;;;;;;;;;;;;;;;;
AI;Kantonales Spital Appenzell;Sonnhalde 2a;9050 Appenzell;K123;R4;A;NF;BGs;1;;5320;868;0;2;0;0.8528271889;0.8307102535;1.2673;30.3384;28.8018;81.4516;5.75;40.6;19.69;107.9;0.66;4.68;2.27;12.43;;;9264446;1713383;5309227;16287056;11039521;1340262;2991560;-2991560;5320;868;26;6.1;56.1;3831422;3410588;10304548;5807625;527092;3489825;359504;0;0;3358227;2770493;8069400;4080429;45.5;3180410;70.2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AI;Hof Weissbad AG Nachbehandlungszentrum;Im Park 1;9057 Weissbad;K221;R1;R;;;1;;6239;382;0;0;0;;;2.1739;95;97.0109;95.9239;2.3;4.04;11.35;169.99;0.6;1.06;2.97;44.5;;;10434619;3086925;6191856;19713400;4862020;15466287;0;618201;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6239;382;18;16.3;95;0;0;3714230;121901;15821;3592328;592348;0;0;0;0;20324848;101888;49;2693514;49;0;;;;;;;;;;;;;;;;;;;;;;
AR;Spitalverbund AR Akutsomatisches Spital;Krombach 3;9101 Herisau;K121;R4;A;IPS;MSt, Arzt, BGs;1;MRI, CT;48856;8228;1237;5;5;0.7630249596;0.7358403204;0.4913;44.9524;14.9859;95.3814;67.76;223.34;81.39;515.25;0.82;2.71;0.99;6.26;;;50394958;8535454;26120788;89806418;82632954;2444596;609676;-266397;48856;8228;152;5.9;88.1;22230962;20018903;61963417;45309466;4631958;8814603;900367;0;1195300;15911059;14527524;66933465;44157450;51.6;8637853;75.2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AR;Spitalverbund AR Psychiatrisches Zentrum;Krombach 3;9100 Herisau;K212;R4;P;;BGs;1;;21933;588;0;0;0;;;0.3373;38.5787;2.5295;98.145;13.55;131.46;13.96;279.06;2.3;22.36;2.37;47.46;;;15224941;4267156;4734792;24651607;12133253;483917;11263599;-218359;;;;;;;;;;;;;;;;;;;;;;;21933;588;61.5;37.3;97.7;3451604;3044287;14775534;14775534;1795323;0;0;0;0;4861245;2204809;18429177;9354270;29.5;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AR;Klinik Gais AG Fachklinik für kardiale & psychosomatische Rehabilitation;Gäbrisstrasse 1172;9056 Gais;K221;R1;R;;Arzt, BGs;1;;43863;1742;0;0;0;;;2.2577;94.7606;23.5132;99.6145;14.75;16.47;25.68;115.05;0.85;0.95;1.47;6.6;;;13069675;216247;6509096;19809912;18734312;1406880;0;696463;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;43863;1742;120;25.2;100.1;321657;0;20995098;15009418;2447090;5443892;742489;0;72488;232774;232774;18504472;13253492;38.3;5010621;100;0;;;;;;;;;;;;;;;;;;;;;;
AR;Rheinburg­Klinik;Dorf;9428 Walzenhausen;K221;R1;R;;Arzt, BGs;1;;19549;687;0;;;;;10.2981;87.4622;68.5637;99.458;7.24;30.66;22.24;95.16;1.05;4.46;3.24;13.85;;;11311297;2289447;2595830;16312918;16142126;544382;0;453761;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19549;687;60;28.5;89.3;337018;337018;15657417;6437678;1009124;9010966;1416726;0;0;388719;388719;16297790;5595869;48;7773760;49;0;;;;;;;;;;;;;;;;;;;;;;
AR;Hirslanden Klinik am Rosenberg;Hasenbühlstrasse 11;9410 Heiden;K231;R1;A;;Arzt, BGs;1;;16105;3470;0;4;0;1.1313078256;1.1139829916;3.0469;87.2221;50.1006;69.7039;5.3;80.28;15.35;174.54;0.15;2.31;0.44;5.03;;;17266151;2564514;11784301;31622774;33896715;2648468;0;5896855;16105;3470;57.6;4.6;76.7;1749291;1348949;37937646;13209098;1844614;16003385;2195596;0;148500;1079555;797972;38374100;13379690;53;18736464;53;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AR;Berit Paracelsus­Klinik AG;Steinweg 1;9052 Niederteufen;K231;R1;A, R;;BGs;1;;10200;1788;0;2;0;1.1596982249;1.1377413018;0.5609;90.2935;33.539;69.6018;0;31.85;10.09;76.16;0;1.78;0.56;4.26;;;7483968;2515846;12278583;22281324;22918437;287928;0;926294;8891;1695;24.1;5.2;101.1;1495697;1379854;18672808;9861241;685151;5977653;467998;0;0;1217442;1077542;20032814;9415553;49.3;7534246;72;0;;;;;;;;;;;;;;;;;;;;;;;1309;93;3.5;14.1;102.2;0;0;819334;422336;54167;383792;49443;0;0;0;0;721707;344707;52.4;364800;65.5;0;;;;;;;;;;;;;;;;;;;;;;
AR;Augenklinik Dr. med. A. v. Scarpatetti AG;Gremmstrasse 17;9053 Teufen AR;K235;R1;A;NF;;1;;266;115;0;2;0;;;0;85.4545;0;99.115;2.53;4.04;3.64;20.56;2.2;3.51;3.17;17.88;;;2409629;364969;1380819;4410329;5829654;186890;0;2268819;266;115;18.6;2.3;3.9;3561210;3561210;1213882;266209;103393;936384;363682;0;0;4780320;1956491;685163;155090;53;522640;54.2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BE;Inselspital Bern;Freiburgstrasse 18;3010 Bern;K111;R2;A, R;NF, IPS;MSt, Arzt, BGs;1;MRI, CT, PET, CC, LB, Lito;260712;39602;656;33;5;1.6115573746;1.5422193609;1.2413;24.8176;17.0314;88.6216;1124.87;2491.83;808.18;6441.51;2.84;6.29;2.04;16.27;;;715445080;63771517;375599256;1154815853;1047425290;42233459;88856682;24047496;254333;39429;920;6.5;75.7;328085660;286053020;717552985;483445559;33486934;112751386;7872500;0;75892372;285618101;253991291;751870699;482217524;47.8;112201273;53.2;105550748;;;;;;;;;;;;;;;;;;;;;;;6379;173;19;36.9;92;0;0;10183933;6632658;445597;1919210;129774;0;0;0;0;11397346;6964490;52.1;2003620;59.3;0;;;;;;;;;;;;;;;;;;;;;;
BE;Spital Netz Bern AG;Morillonstrasse 77;3007 Bern;K112;R1;A, R;NF, IPS;MSt, Arzt, BGs;6;MRI, CT;132002;19532;527;12;5;0.9920084355;0.9512429011;0.4195;4.3957;16.0281;93.9092;224.71;699.73;225.15;1680.12;1.15;3.58;1.15;8.6;;;178501871;11497614;83450852;274021368;250938288;23032575;0;0;96883;17545;353.8;5.5;75;60821052;51711564;178621141;139845233;14735941;26596416;2775046;2741;0;43325760;36934102;177232007;132931011;45;25033332;45;7449;;;;;;;;;;;;;;;;;;;;;;;35119;1987;104;17.7;92.5;2990234;2894349;32507966;24057138;3071819;8024527;1021689;0;0;1900428;1832174;31585444;21348423;45;7057482;45;0;;;;;;;;;;;;;;;;;;;;;;
BE;Lindenhof AG;Bremgartenstrasse 117;3012 Bern;K112;R1;A, P;NF, IPS;MSt, Arzt, BGs;3;MRI, CT, LB, Lito;120324;25821;1551;19;6;1.0073766643;0.9614860287;0.2104;15.1751;27.6306;93.5377;69.35;799.32;176.09;1574.47;0.27;3.1;0.68;6.1;;;155045863;30452798;184073261;371350298;354081617;21649976;255453;4902117;114822;25725;364.1;4.5;86.4;67450009;62165624;262743121;164528406;9308893;73208194;4170069;0;920000;71443434;64995390;284273109;158967622;46.2;58936584;44.4;0;5502;96;16.5;57.3;91.2;932141;932141;4046945;3210833;552680;771650;133632;0;0;595950;595950;3435611;2716102;60.9;667092;60.1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BE;Hirslanden Bern AG;Schänzlihalde 11;3013 Bern;K112;R1;A;NF, IPS;MSt, Arzt, BGs;4;MRI, CT, Lito;90773;19137;576;16;3;1.1617039286;1.1098181071;0.5329;17.8752;29.1747;91.0618;61.27;535.85;106.63;1089.76;0.32;2.8;0.56;5.69;;;108131784;47819575;93561073;249530379;200938340;17896343;30675780;-30675780;90773;19137;310.2;4.7;80.2;35870046;0;221004455;128346081;8857452;74913803;6002619;0;0;31003535;0;242493612;134066961;45;54579580;45;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BE;Spital Thun­Simmental­Saanenland AG;Krankenhausstrasse 12;3600 Thun;K112;R1;A, P;NF, IPS;MSt, Arzt, BGs;4;CT;78521;15573;733;8;4;0.9797532443;0.9245527046;1.0167;2.8375;14.3102;92.489;181.62;637.24;155.84;1257.91;1.17;4.09;1;8.08;;;136178519;9403088;77813161;229255137;205878051;16152130;7311903;803149;78521;15573;223.7;5;96.1;58440206;52478454;146217900;111105292;8287514;27181853;1935186;0;610941;46262646;41868409;154669147;110343457;45.5;34667649;64.9;0;0;0;0;;;9251919;9184416;0;0;0;0;0;0;57430;10358866;5142394;0;0;;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BE;Spitalzentrum Biel;Vogelsang 84;2502 Biel;K112;R1;A, R;NF, IPS;MSt, Arzt, BGs;1;MRI, CT, Lito;74088;12709;683;5;5;0.9459284571;0.9092276248;0.592;5.5384;15.7531;92.9038;155.58;464.05;104.46;1065.03;1.22;3.65;0.82;8.38;;;116743059;10368873;53640430;180752362;175055129;6572371;2693851;3568989;70661;12505;241;5.7;80.3;61194406;55762453;122019376;88948144;11634799;22845367;2591890;0;0;52336404;48256640;128929644;84813840;59;23773830;58.6;0;;;;;;;;;;;;;;;;;;;;;;;3427;204;11;16.8;85.4;0;0;2943138;2943138;336906;0;0;1059979;0;0;0;2546409;2537461;44.7;0;;448322;;;;;;;;;;;;;;;;;;;;;;
